1,2
3,4
5,6
7,8
9,10
11,12
13,14
15,16
17,18
19,20
21,22
23,24
25,26
27,28
29,30
31,32
33,34
35,36
37,38
39,40
41,42
43,44
-1,-1
45,46
47,48
49,50
-1,-1
51,52
-1,-1
53,54
55,56
57,58
59,60
61,62
63,64
65,66
-1,-1
67,68
-1,-1
69,70
71,72
73,74
75,76
77,78
79,80
-1,-1
81,82
-1,-1
83,84
85,86
87,88
-1,-1
89,90
91,92
93,94
95,96
97,98
99,100
101,102
103,104
-1,-1
105,106
107,108
109,110
111,112
-1,-1
113,114
-1,-1
115,116
117,118
119,120
121,122
-1,-1
123,124
125,126
127,128
129,130
-1,-1
-1,-1
131,132
-1,-1
133,134
135,136
-1,-1
-1,-1
137,138
139,140
-1,-1
-1,-1
-1,-1
141,142
143,144
145,146
-1,-1
147,148
149,150
-1,-1
151,152
153,154
155,156
157,158
159,160
161,162
-1,-1
-1,-1
-1,-1
163,164
-1,-1
-1,-1
-1,-1
165,166
167,168
169,170
171,172
-1,-1
173,174
-1,-1
-1,-1
175,176
-1,-1
177,178
179,180
-1,-1
181,182
183,184
-1,-1
-1,-1
185,186
-1,-1
-1,-1
187,188
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
189,190
-1,-1
191,192
193,194
195,196
197,198
-1,-1
-1,-1
199,200
-1,-1
-1,-1
201,202
-1,-1
-1,-1
203,204
-1,-1
205,206
-1,-1
-1,-1
-1,-1
207,208
-1,-1
-1,-1
-1,-1
209,210
211,212
-1,-1
-1,-1
-1,-1
-1,-1
213,214
-1,-1
-1,-1
215,216
-1,-1
-1,-1
217,218
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
219,220
-1,-1
221,222
223,224
225,226
227,228
-1,-1
229,230
231,232
-1,-1
233,234
-1,-1
235,236
237,238
-1,-1
239,240
241,242
-1,-1
243,244
-1,-1
-1,-1
-1,-1
245,246
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
247,248
-1,-1
-1,-1
249,250
251,252
-1,-1
253,254
-1,-1
255,256
257,258
259,260
-1,-1
-1,-1
-1,-1
261,262
-1,-1
-1,-1
263,264
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
265,266
-1,-1
267,268
269,270
271,272
-1,-1
-1,-1
-1,-1
-1,-1
273,274
-1,-1
275,276
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
277,278
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
279,280
-1,-1
-1,-1
-1,-1
281,282
-1,-1
283,284
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
285,286
-1,-1
-1,-1
-1,-1
-1,-1
287,288
-1,-1
289,290
-1,-1
291,292
-1,-1
293,294
-1,-1
-1,-1
-1,-1
